Cycle,Remaining_Percentage
1,99.717932
2,99.436660
3,99.156181
4,98.876493
5,98.597594
6,98.319482
7,98.042154
8,97.765609
9,97.489843
10,97.214856
11,96.940644
12,96.667205
13,96.394538
14,96.122640
15,95.851509
16,95.581143
17,95.311539
18,95.042696
19,94.774611
20,94.507282
21,94.240707
22,93.974884
23,93.709811
24,93.445486
25,93.181906
26,92.919070
27,92.656975
28,92.395619
29,92.135001
30,91.875118
31,91.615967
32,91.357548
33,91.099858
34,90.842894
35,90.586656
36,90.331140
37,90.076345
38,89.822268
39,89.568908
40,89.316263
41,89.064331
42,88.813109
43,88.562595
44,88.312789
45,88.063687
46,87.815287
47,87.567588
48,87.320588
49,87.074285
50,86.828676
51,86.583761
52,86.339536
53,86.095999
54,85.853150
55,85.610986
56,85.369505
57,85.128705
58,84.888584
59,84.649141
60,84.410373
61,84.172278
62,83.934855
63,83.698102
64,83.462016
65,83.226597
66,82.991841
67,82.757748
68,82.524315
69,82.291540
70,82.059422
71,81.827959
72,81.597148
73,81.366989
74,81.137479
75,80.908616
76,80.680399
77,80.452825
78,80.225893
79,79.999602
80,79.773949
81,79.548932
82,79.324550
83,79.100801
84,78.877683
85,78.655194
86,78.433333
87,78.212098
88,77.991487
89,77.771498
90,77.552129
91,77.333379
92,77.115247
93,76.897729
94,76.680826
95,76.464534
96,76.248852
97,76.033778
98,75.819311
99,75.605449
100,75.392190
